Source,Target,Weight
science,technology,1962
forum,sts,787
change,climate,741
society,technology,685
science,society,665
research,science,657
new,technology,652
chair,speaker,639
speaker,technology,637
science,speaker,624
research,technology,616
country,developing,592
chair,science,583
chair,technology,570
chair,session,561
japan,technology,546
president,science,533
japan,science,532
chair,president,524
research,university,523
president,speaker,523
science,university,518
innovation,technology,515
development,technology,509
president,technology,491
technology,university,481
speaker,university,477
session,speaker,471
science,session,469
research,speaker,469
session,technology,461
chair,university,452
president,university,445
also,technology,440
innovation,science,438
forum,science,435
institute,science,431
japan,speaker,430
forum,technology,428
chair,research,427
chair,director,423
president,research,419
national,science,419
institute,technology,418
director,science,418
director,speaker,417
development,science,406
director,president,405
energy,technology,402
chair,institute,395
chair,japan,390
institute,research,387
institute,president,386
institute,speaker,385
japan,president,382
director,technology,379
innovation,research,377
need,technology,369
institute,university,368
japan,research,367
also,science,366
science,sts,365
national,technology,363
development,research,359
director,university,358
sts,technology,356
president,session,355
also,need,353
professor,university,351
chairman,science,347
global,science,342
director,research,336
chair,professor,336
international,science,335
professor,science,335
executive,president,334
japan,university,333
chairman,technology,331
chair,chairman,331
director,institute,331
education,science,328
technology,world,327
global,technology,326
need,science,325
national,speaker,323
chair,executive,322
executive,science,322
president,professor,322
professor,speaker,322
national,president,321
issue,technology,321
public,science,314
chairman,speaker,314
chair,national,313
science,world,312
executive,speaker,312
future,technology,311
national,research,311
chairman,president,310
director,japan,308
industry,technology,307
international,technology,306
forum,society,305
government,industry,305
executive,technology,303
professor,technology,303
session,university,302
energy,renewable,302
new,science,301
academia,industry,301
national,university,298
president,vice,298
institute,japan,298
research,session,297
play,role,296
chief,president,293
chief,science,293
country,technology,292
japan,society,291
chair,chief,290
institute,professor,290
director,professor,287
science,scientific,286
director,executive,286
opening,remark,286
chief,speaker,283
government,technology,282
issue,science,281
education,technology,280
future,science,277
government,science,277
research,society,277
chief,executive,276
institute,national,275
director,session,275
executive,university,274
professor,research,272
also,research,272
director,national,271
also,issue,270
chief,technology,269
chair,vice,268
executive,research,267
speaker,vice,265
chairman,research,264
policy,science,263
japan,session,262
society,sts,261
chairman,director,259
country,science,258
new,research,258
development,speaker,258
science,vice,256
must,technology,255
academy,science,255
change,technology,255
japan,national,254
institute,session,253
chairman,japan,253
innovation,speaker,253
science,social,253
executive,japan,253
research,scientific,252
science,scientist,252
industry,research,251
also,must,250
technology,vice,248
chairman,institute,248
science,u,248
japan,professor,248
development,new,247
engineering,science,247
chairman,university,247
chief,officer,247
academia,government,242
government,research,242
chief,research,240
must,science,239
technology,u,239
chief,director,238
country,developed,237
executive,institute,237
system,technology,236
energy,nuclear,236
public,technology,235
innovation,university,235
collaboration,international,233
international,research,232
also,important,232
chief,university,231
chair,development,230
also,new,230
center,science,229
society,university,229
minister,science,228
minister,technology,226
country,need,226
developing,technology,226
chief,japan,225
policy,technology,225
jp,science,224
society,speaker,224
chairman,session,222
innovation,society,222
university,vice,221
chair,innovation,220
also,society,220
center,research,220
chair,society,220
officer,president,220
also,country,219
chairman,executive,218
global,research,218
discussion,group,218
executive,officer,218
chair,opening,217
challenge,technology,217
change,science,217
role,science,215
scientific,technology,215
forum,japan,214
around,world,214
global,speaker,214
industry,science,213
research,vice,213
human,technology,213
jp,president,212
national,professor,212
participant,technology,211
director,vice,211
officer,science,211
chair,remark,211
academy,president,210
professor,session,210
also,discussed,210
innovation,japan,210
innovation,new,209
jp,technology,208
opening,session,208
development,president,208
technology,use,208
center,university,208
executive,professor,208
international,speaker,208
global,issue,208
need,society,206
challenge,science,205
executive,session,205
chair,officer,205
officer,speaker,205
chairman,national,204
chair,jp,203
human,science,203
chairman,chief,203
concurrent,session,202
also,energy,201
development,university,201
education,research,201
energy,source,201
president,u,201
center,technology,200
need,research,200
development,innovation,200
industry,university,199
national,session,199
also,innovation,199
chief,institute,198
energy,new,198
energy,speaker,198
discussed,speaker,198
big,data,198
role,technology,197
japan,tokyo,196
