,0
ai,55.11280167890871
necessary,11.04039874081847
climate_change,10.813221406086045
solution,9.563746065057712
sustainable,8.995802728226653
different,8.314270724029381
ensure,8.087093389296959
including,7.519150052465898
access,7.405561385099686
potential,6.9512067156348385
enable,6.724029380902413
process,6.724029380902413
company,6.496852046169989
issue,6.496852046169989
still,6.042497376705142
emission,5.8153200419727185
space,5.474554039874082
also_discussed,5.36096537250787
better,5.133788037775447
asked,4.906610703043023
trust,4.7930220356768105
innovation,3.907030430220357
health,3.657135362014691
speaker,3.202780692549843
digital,3.202780692549843
discussed,2.9756033578174192
challenge,2.9756033578174184
change,2.7862889122070658
regulation,2.634837355718783
essential,2.407660020986359
funding,2.3319342427422174
possible,2.294071353620147
infrastructure,2.294071353620147
focus,2.294071353620147
needed,2.180482686253935
importance,2.0668940188877234
shared,2.0668940188877234
advance,1.9533053515215109
important,1.8624344176285412
food,1.8397166841552994
initiative,1.8018537950332285
discussion,1.7829223504721936
sector,1.7261280167890873
impact,1.498950682056663
climate,1.3474991255683804
provide,1.2717733473242394
future,1.2068655374006894
address,1.196047569080098
sustainability,1.196047569080098
collaboration,1.1581846799580273
use,1.109503822515365
application,1.1013903462749215
create,1.1013903462749215
also,1.0527094888322592
based,1.0445960125918154
student,1.0445960125918154
z
