Word/Bigram,Frequency
science,5792
technology,5741
also,3582
research,3093
need,2651
energy,2494
society,2461
new,2244
country,2148
university,2101
innovation,2055
issue,2012
speaker,1972
must,1888
president,1869
japan,1862
development,1829
world,1735
global,1693
session,1651
change,1644
data,1538
system,1534
forum,1486
government,1486
industry,1480
one,1443
people,1438
important,1378
future,1355
participant,1335
challenge,1302
chair,1299
education,1297
public,1292
many,1245
international,1213
human,1195
discussion,1136
collaboration,1103
developing,1097
scientific,1074
scientist,1055
institute,1050
climate,1037
national,1033
problem,1026
would,1023
sts,1004
chairman,997
director,974
use,972
example,943
could,925
water,912
company,904
social,900
way,896
solution,893
policy,886
however,879
health,856
role,852
area,850
u,835
resource,821
information,818
discussed,812
disease,812
year,810
work,794
well,788
time,782
professor,759
artificial_intelligence,756
group,745
business,742
make,733
including,726
life,722
importance,720
different,718
impact,710
knowledge,709
sustainable,706
executive,700
key,682
noted,675
said,655
city,650
economic,647
better,638
may,636
approach,635
level,631
nuclear,629
help,626
question,624
needed,624
another,622
stated,612
first,609
environment,609
medicine,606
developed,600
chief,600
effort,595
community,588
security,584
member,578
power,576
population,572
next,571
student,570
food,570
former,569
jp,567
cost,564
risk,555
sector,545
cooperation,541
benefit,537
potential,529
necessary,528
goal,525
program,515
corporation,515
academia,503
made,488
minister,487
emission,485
among,483
used,482
together,481
support,479
center,474
pandemic,473
ict,470
provide,470
investment,468
sustainability,468
engineering,467
major,466
model,464
create,460
develop,459
process,457
carbon,457
funding,456
academy,455
possible,455
around,454
opportunity,452
organization,450
material,450
take,448
application,446
vice,444
field,440
essential,434
address,431
point,430
leader,429
growth,428
study,426
communication,424
become,422
officer,420
access,417
ocean,417
building,412
even,411
asked,411
current,409
order,407
fuel,407
cell,405
progress,404
term,404
source,400
increase,400
much,399
project,396
value,395
production,395
young,394
addition,394
agency,392
focus,391
large,391
economy,390
ensure,390
nation,389
explained,389
high,388
local,387
digital,386
spoke,384
pointed,383
often,383
remark,382
foundation,380
still,380
come,379
part,378
good,378
infrastructure,375
renewable,375
based,374
understanding,373
individual,372
basic,372
council,371
result,369
gas,368
open,367
idea,365
initiative,365
like,365
researcher,364
concern,363
management,363
technological,361
private,359
generation,359
advance,358
making,357
action,356
opening,354
environmental,353
market,352
meeting,350
great,347
plenary,347
space,347
general,347
network,345
fact,339
industrial,339
various,339
right,336
second,336
effect,334
product,334
tokyo,333
big,332
therefore,331
state,330
play,330
greater,329
learning,329
two,328
using,327
due,326
effective,325
strategy,325
lead,324
medical,324
topic,323
number,322
achieve,319
natural,319
board,318
quality,318
earth,316
advanced,315
trust,311
shared,311
vaccine,310
institution,308
ceo,307
smart,304
able,302
understand,301
especially,300
safety,300
without,299
working,299
improve,297
across,297
third,296
continue,295
nobel,294
aspect,293
drug,293
creating,293
required,292
humanity,291
reduce,288
humankind,287
room,287
place,287
common,286
healthcare,285
political,284
furthermore,282
medium,281
treatment,281
partnership,280
best,279
promote,278
concurrent,278
africa,278
include,278
agreed,277
supply,277
critical,275
regulation,273
lack,273
highlighted,273
suggested,272
school,272
physic,272
whether,271
hydrogen,271
case,270
face,270
factor,270
increasing,270
senior,268
capacity,268
tool,265
disaster,264
nature,263
quantum,262
three,261
addressed,261
aging,261
service,259
emphasized,258
kyoto,257
standard,257
department,257
demand,256
opened,256
related,253
finally,253
raised,252
experience,251
internet,251
mean,250
considered,250
began,249
increased,245
method,244
nationality,244
light,243
bring,243
ecosystem,243
today,242
recent,242
efficiency,241
scale,240
build,239
vital,238
manufacturing,237
addressing,236
require,236
past,236
contribute,236
framework,236
emeritus,236
robotics,235
solve,234
commented,234
crisis,234
activity,234
sharing,234
uk,231
towards,230
added,229
within,228
higher,228
consumption,227
limited,226
r,223
academic,223
requires,222
privacy,222
rather,220
measure,220
given,219
done,219
patient,219
